id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
42,2021-09-23 10:38:02.581638+00,21,,279,38,1,,2021-09-04 10:36:35+00,2021-09-01 10:36:32+00,12,209,2021-09-04 10:36:35+00,2021-09-01 10:36:32+00,,,,,,,,,,,,,,,,,,,,,,,,,
84,2022-04-24 07:59:10.970263+00,9,,554,38,1,,2022-02-23 07:05:37+00,2022-02-02 07:05:33+00,12,,2022-02-23 07:05:37+00,2022-02-02 07:05:33+00,,,,,,,,,,,,,,,,,,,,,,,,,
85,2022-04-24 08:01:44.971834+00,9,,558,38,1,,2022-02-24 10:00:55+00,2022-02-02 10:00:53+00,12,,2022-02-24 10:00:55+00,2022-02-02 10:00:53+00,,,,,,,,,,,,,,,,,,,,,,,,,
89,2022-04-24 08:01:54.454441+00,9,,562,38,1,,2022-03-04 01:25:45+00,2022-02-01 01:25:23+00,12,569,2022-03-04 01:25:45+00,2022-02-01 01:25:23+00,,,,,,,,,,,,,,,,,,,,,,,,,
95,2022-04-24 08:01:54.457854+00,9,,562,38,1,,2022-02-05 16:26:40+00,2022-02-01 16:26:38+00,12,,2022-02-05 16:26:40+00,2022-02-01 16:26:38+00,,,,,,,,,,,,,,,,,,,,,,,,,
94,2022-04-24 08:01:54.460981+00,9,,562,38,1,,2022-02-08 07:39:34+00,2022-02-01 07:39:32+00,12,,2022-02-08 07:39:34+00,2022-02-01 07:39:32+00,,,,,,,,,,,,,,,,,,,,,,,,,
96,2022-04-24 08:01:54.463925+00,9,,562,38,1,,2022-03-02 16:43:00+00,2022-02-01 16:42:58+00,12,,2022-03-02 16:43:00+00,2022-02-01 16:42:58+00,,,,,,,,,,,,,,,,,,,,,,,,,
80,2022-04-24 08:01:57.785847+00,9,,542,38,1,,2022-02-26 11:52:25+00,2022-02-15 11:52:22+00,12,,2022-02-26 11:52:25+00,2022-02-15 11:52:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
81,2022-04-24 08:01:57.789365+00,9,,542,38,1,,2022-02-19 05:18:51+00,2022-02-18 05:18:49+00,12,,2022-02-19 05:18:51+00,2022-02-18 05:18:49+00,,,,,,,,,,,,,,,,,,,,,,,,,
83,2022-04-24 08:01:57.792074+00,9,,542,38,1,,2022-02-23 07:05:37+00,2022-02-02 07:05:33+00,12,,2022-02-23 07:05:37+00,2022-02-02 07:05:33+00,,,,,,,,,,,,,,,,,,,,,,,,,
82,2022-04-24 08:02:15.152241+00,9,,546,38,1,,2022-02-18 10:49:17+00,2022-02-01 10:49:14+00,12,304,2022-02-18 10:49:17+00,2022-02-01 10:49:14+00,,,,,,,,,,,,,,,,,,,,,,,,,
79,2022-04-24 08:02:30.454176+00,9,,538,38,1,,2022-02-26 11:52:25+00,2022-02-15 11:52:22+00,12,,2022-02-26 11:52:25+00,2022-02-15 11:52:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
129,2022-08-15 14:08:50.122578+00,9,,649,38,1,,2023-01-01 08:50:19+00,2021-06-01 08:50:11+00,12,415,2023-01-01 08:50:19+00,2021-06-01 08:50:11+00,,,,,,,,,,,,,,,,,,,,,,,,,
57,2022-04-24 08:02:51.494584+00,9,,174,38,1,,2021-11-18 07:26:11+00,2021-11-12 07:26:06+00,12,141,2021-11-18 07:26:11+00,2021-11-12 07:26:06+00,,,,,,,,,,,,,,,,,,,,,,,,,
56,2022-04-24 08:02:51.507433+00,9,,174,38,1,,2021-11-12 07:26:11+00,2021-11-02 07:26:06+00,12,,2021-11-12 07:26:11+00,2021-11-02 07:26:06+00,,,,,,,,,,,,,,,,,,,,,,,,,
105,2022-04-24 08:03:11.148874+00,9,,245,38,1,,2022-03-08 08:04:03+00,2022-03-03 08:04:01+00,12,415,2022-03-08 08:04:03+00,2022-03-03 08:04:01+00,,,,,,,,,,,,,,,,,,,,,,,,,
90,2022-02-28 02:51:01.246727+00,146,,572,38,1,,2022-01-24 11:53:59+00,2022-01-24 11:53:55+00,12,446,2022-01-24 11:53:59+00,2022-01-24 11:53:55+00,,,,,,,,,,,,,,,,,,,,,,,,,
100,2022-04-24 08:03:14.478281+00,9,,244,38,1,,2022-03-15 21:52:33+00,2022-02-28 21:52:31+00,12,,2022-03-15 21:52:33+00,2022-02-28 21:52:31+00,,,,,,,,,,,,,,,,,,,,,,,,,
91,2022-02-28 03:20:47.285787+00,146,,572,38,1,,2022-02-28 13:53:41+00,2022-02-26 02:53:39+00,12,446,2022-02-28 13:53:41+00,2022-02-26 02:53:39+00,,,,,,,,,,,,,,,,,,,,,,,,,
93,2022-04-24 08:03:24.890904+00,9,,180,38,1,,2022-02-01 12:38:46+00,2022-02-01 12:38:44+00,12,,2022-02-01 12:38:46+00,2022-02-01 12:38:44+00,,,,,,,,,,,,,,,,,,,,,,,,,
97,2022-04-24 08:03:37.734391+00,9,,3,38,1,,2022-03-23 19:17:06+00,2022-02-28 19:17:04+00,12,,2022-03-23 19:17:06+00,2022-02-28 19:17:04+00,,,,,,,,,,,,,,,,,,,,,,,,,
88,2022-04-24 08:03:37.737545+00,9,,3,38,1,,2022-04-22 07:05:37+00,2022-02-02 07:05:33+00,12,,2022-04-22 07:05:37+00,2022-02-02 07:05:33+00,,,,,,,,,,,,,,,,,,,,,,,,,
130,2022-04-24 08:51:18.731844+00,9,,650,38,1,,2023-01-01 08:51:05+00,2022-03-01 08:51:01+00,1,636,2023-01-01 08:51:05+00,2022-03-01 08:51:01+00,,,,,,,,,,,,,,,,,,,,,,,,,
92,2022-02-28 21:39:56.928877+00,146,,575,38,1,,2022-02-28 03:21:47+00,2022-02-27 03:21:44+00,12,446,2022-02-28 03:21:47+00,2022-02-27 03:21:44+00,,,,,,,,,,,,,,,,,,,,,,,,,
98,2022-02-28 21:40:32.100488+00,146,,572,38,1,,2022-03-07 21:40:03+00,2022-03-07 21:40:02+00,12,446,2022-03-07 21:40:03+00,2022-03-07 21:40:02+00,,,,,,,,,,,,,,,,,,,,,,,,,
101,2022-03-01 00:31:29.588565+00,146,,575,38,1,,2022-03-02 00:31:27+00,2022-03-01 00:31:24+00,1,446,2022-03-02 00:31:27+00,2022-03-01 00:31:24+00,,,,,,,,,,,,,,,,,,,,,,,,,
